Feature ID,Taxon,Confidence
4ab533678131ea62c589e23fe1656222,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Calocalanus;Calocalanus_pavo;,0.99991756
422ba4d014657a81bb90fbb704832987,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-7;Dino-Group-II-Clade-7_X;Dino-Group-II-Clade-7_X_sp.;,0.999047431
b4f5ae1a868841d56fe5ad000ff347ec,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium,0.996001986
01e23dd2b0235d8a56378bfa9870f22c,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,1
f652da88e1609768dfe1998dbe428735,Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa,0.999904189
4d5e0ea329305926e1201c61eb8c96ec,Eukaryota;Obazoa;Opisthokonta;Metazoa,0.730788748
e7d220fba1753b72c153c410d49e4e9e,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Warnowiaceae;Warnowia;Warnowia_sp.;,0.998592111
62a01d1c110bee4d6e67ebef6f70e9da,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Calocalanus;Calocalanus_sp.;,0.984070002
bf27a39ebd21cb7050247e397beb8c47,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,0.999970904
dd338e5ec23f4ae3ad49211d27817ac3,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;,0.999998013
2ed3f3406f0c21eddeaeb9762e5ead54,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,1
f63837b1db0585909fc82566f846e284,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Acrocalanus;Acrocalanus_gracilis;,0.997750339
5a8b37445859025f4788b55b7cf09b49,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,1
6758844889cababa894f6e948420a96e,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Calocalanus;Calocalanus_sp.;,0.912826305
faf63e55d6a7491dab879bcc8e3cf1e8,Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;,0.999999978
bbbe55dc0b9d1e5bcf51f7b34f0d1d93,Eukaryota;Archaeplastida;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picozoa_XXXX;Picozoa_XXXXX;Picozoa_XXXXX_sp.;,0.98739174
2c125ed3d200e743c8fe7a4550957f77,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Delibus;Delibus_sp.;,0.74054838
509e8125754c35fa143c374768fe57fd,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon;Chloropicon_roscoffensis;,0.994694436
7effd981cc2f957357896b65eafb14f9,Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Astrosphaeridae;Astrosphaera;Astrosphaera_hexagonalis;,0.737066769
7ea4d3863a69124c9cec3e6173e20ebf,Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa;Apolemia;Apolemia_sp.;,0.993606351
4639d7e066d443f057fbfad75fd90c5f,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,0.995381013
11e9f12df6a7ccc259a7679fa9566867,Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_1;Acantharea_1_X;Acantharea_1_XX;Acantharea_1_XX_sp.;,1
6e90eb2867c655db4e4ac48fb13a269e,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,1
6001f2f4ca75c4f6d1cf5f84df82164a,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa_nei/rotundata;,0.970138229
45209829d657377b1853a87e3c9d729c,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae,0.999854233
33b96153d565be2b5cbb06ef1aaa1f9d,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,0.999948066
850904df61012a006770f81c97cae061,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum_sp.;,0.869042064
2ad211749ddf259d4989970f38272722,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Blastodiniaceae;Blastodinium,0.873550159
333bf722a2728eeba832402d9a504f11,Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Acrocalanus;Acrocalanus_gracilis;,0.860376278
09eaa97d23b2cd6f6c7f7656ce97710e,Eukaryota;TSAR;Telonemia;Telonemia_X;Telonemia_XX;Telonemia_XXX;Telonemia-Group-2;Telonemia-Group-2_X;Telonemia-Group-2_X_sp.;,0.999999999
ad8404149159f873cf322835df0948b6,Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Collophidiidae;Collophidium;Collophidium_serpentinum;,1
